Years at Company,Projects Completed,Job Satisfaction,Training Received,Manager Ratings,Overtime Hours,Education Level,Promotion Status
7,9,Very Good,1,1,20,Bachelor's,0
20,10,Bad,1,3,2,PhD,1
15,10,Excellent,1,5,6,Master's,0
11,1,Average,0,5,16,Master's,0
8,6,Bad,1,1,11,PhD,0
7,7,Good,0,2,8,Bachelor's,0
19,8,Very Good,0,4,14,Bachelor's,1
11,10,Bad,0,2,17,High School,2
11,9,Average,0,2,20,Master's,0
4,2,Good,0,1,12,High School,1
8,10,Average,0,1,20,High School,1
3,2,Average,0,1,7,PhD,0
2,5,Good,0,1,13,PhD,2
12,5,Average,0,5,7,High School,0
6,6,Good,0,1,13,Master's,0
2,3,Bad,1,5,6,PhD,1
1,8,Good,1,5,11,High School,0
12,1,Good,1,1,10,High School,1
12,6,Very Good,0,3,10,High School,1
17,4,Good,1,4,12,High School,0
10,1,Good,1,2,17,High School,1
16,7,Bad,1,5,1,High School,0
15,9,Very Good,0,4,20,PhD,0
15,4,Excellent,0,3,14,Master's,1
19,4,Bad,0,2,19,High School,2
12,6,Bad,0,2,17,Bachelor's,0
20,3,Excellent,1,5,14,PhD,0
3,6,Good,1,1,18,PhD,1
5,7,Average,1,3,11,High School,1
19,10,Very Good,1,5,12,PhD,1
7,10,Average,0,3,10,High School,0
9,3,Excellent,0,1,4,Master's,0
7,7,Bad,0,1,0,Master's,0
18,3,Bad,1,5,2,PhD,1
4,2,Very Good,0,1,18,PhD,0
14,10,Bad,0,4,6,Bachelor's,0
18,4,Bad,1,2,11,PhD,2
9,8,Very Good,1,5,14,Bachelor's,0
2,9,Very Good,0,3,4,Master's,2
20,7,Excellent,0,4,14,Master's,1
15,1,Bad,0,5,7,High School,1
7,3,Bad,0,1,9,Master's,0
12,9,Excellent,0,1,15,Bachelor's,0
8,1,Good,0,1,7,PhD,1
15,9,Good,1,1,0,High School,1
3,8,Good,1,3,11,Bachelor's,1
14,1,Excellent,1,4,4,PhD,0
17,6,Bad,0,2,2,High School,1
4,5,Excellent,1,3,0,Master's,1
18,6,Excellent,0,3,3,Bachelor's,1
8,10,Good,0,2,7,PhD,1
4,5,Average,1,2,2,High School,1
2,6,Bad,0,1,9,High School,1
6,5,Good,0,3,1,Master's,0
10,5,Average,1,5,10,PhD,0
4,4,Average,1,2,9,Master's,0
18,3,Very Good,1,2,20,Master's,0
12,3,Bad,0,4,13,PhD,0
2,4,Average,1,5,6,PhD,0
10,9,Good,1,5,1,PhD,0
4,2,Very Good,0,2,8,Bachelor's,0
14,9,Bad,1,1,15,PhD,1
16,1,Excellent,1,4,12,High School,2
15,1,Good,1,5,8,Master's,0
8,5,Average,0,2,19,Bachelor's,2
14,6,Average,0,5,3,PhD,0
8,6,Good,0,4,9,Bachelor's,0
16,3,Average,0,4,11,PhD,0
13,7,Very Good,1,3,16,Bachelor's,0
18,9,Bad,0,2,13,Master's,1
15,10,Very Good,0,4,13,Master's,1
13,8,Average,1,3,1,High School,0
9,6,Excellent,1,3,20,High School,0
15,8,Bad,1,5,19,PhD,0
13,5,Bad,0,5,10,Master's,0
1,8,Good,0,3,15,Bachelor's,0
7,10,Good,0,5,18,Bachelor's,0
9,4,Excellent,1,4,5,Bachelor's,1
1,10,Bad,1,1,18,High School,2
12,8,Excellent,0,4,4,Bachelor's,0
8,10,Good,1,3,3,High School,2
11,2,Good,1,3,14,High School,0
19,5,Bad,1,4,3,PhD,0
17,9,Very Good,0,5,19,Bachelor's,0
8,4,Average,1,5,9,Bachelor's,1
3,6,Good,1,3,2,Master's,2
3,1,Good,0,2,4,PhD,1
1,9,Very Good,0,5,5,Master's,0
5,1,Very Good,1,4,20,PhD,1
10,5,Excellent,1,5,7,Bachelor's,0
7,4,Excellent,0,4,6,High School,1
9,3,Average,0,3,20,High School,0
7,6,Average,1,5,9,High School,0
9,2,Bad,1,4,5,High School,0
8,3,Excellent,1,3,13,High School,1
12,5,Good,1,2,3,Master's,0
2,9,Excellent,0,4,12,PhD,1
1,2,Good,1,2,19,Bachelor's,0
16,10,Very Good,1,2,16,Master's,1
5,8,Excellent,0,1,6,PhD,1
3,2,Very Good,1,5,3,High School,1
12,5,Average,0,4,13,PhD,0
8,7,Average,1,2,2,PhD,0
3,8,Bad,1,1,4,High School,0
1,1,Excellent,0,3,15,High School,1
3,6,Very Good,0,4,19,High School,0
5,1,Good,1,2,3,Bachelor's,0
15,2,Average,1,5,1,High School,0
14,1,Average,1,1,17,Bachelor's,0
3,5,Good,0,2,18,High School,1
1,10,Very Good,1,5,18,Bachelor's,0
5,9,Very Good,0,2,16,PhD,1
14,6,Excellent,0,4,13,Master's,0
7,1,Excellent,1,4,18,PhD,0
9,1,Bad,0,4,12,PhD,0
15,2,Average,1,1,11,High School,0
15,9,Excellent,1,4,5,Bachelor's,0
10,3,Very Good,1,5,20,Master's,1
13,1,Good,1,2,3,High School,0
19,5,Very Good,1,3,18,High School,1
7,7,Average,0,5,15,High School,0
17,6,Very Good,0,5,12,PhD,0
20,1,Bad,1,4,3,Bachelor's,1
4,5,Average,1,1,16,Bachelor's,0
5,5,Good,0,2,0,Master's,0
7,6,Bad,0,1,17,Bachelor's,0
13,3,Average,0,2,19,Bachelor's,0
15,5,Good,0,2,16,High School,1
11,7,Bad,1,1,14,High School,0
4,5,Bad,1,5,10,PhD,1
13,5,Average,0,2,12,High School,1
7,5,Excellent,1,1,0,High School,0
19,10,Bad,0,2,16,High School,2
2,10,Bad,1,3,5,High School,0
10,3,Good,0,5,3,PhD,2
13,1,Very Good,1,4,19,High School,0
6,5,Average,0,2,15,Master's,1
12,9,Average,0,3,14,Master's,0
12,1,Excellent,1,4,14,Master's,0
20,3,Excellent,0,4,5,Master's,1
11,4,Average,1,2,14,High School,1
7,1,Excellent,1,1,13,Master's,0
1,1,Good,0,2,10,High School,0
1,8,Average,1,3,6,PhD,1
20,2,Excellent,1,4,8,Master's,1
13,8,Average,1,2,15,Bachelor's,2
9,7,Very Good,1,1,4,Master's,1
3,10,Bad,1,2,19,Master's,2
7,10,Average,0,5,9,High School,1
6,2,Bad,1,1,17,Master's,0
8,6,Excellent,1,3,2,Bachelor's,0
9,6,Bad,1,4,12,High School,1
5,3,Average,1,2,10,High School,1
1,2,Very Good,1,1,16,PhD,0
19,1,Excellent,0,5,12,PhD,0
10,6,Average,1,1,5,Master's,2
12,5,Excellent,0,5,16,PhD,0
15,9,Good,0,3,12,PhD,0
9,1,Bad,0,4,18,PhD,0
20,7,Good,0,3,20,High School,0
17,5,Average,1,2,18,High School,0
17,5,Very Good,0,1,9,High School,0
20,2,Excellent,0,5,2,PhD,0
12,3,Bad,1,5,13,High School,1
7,7,Excellent,1,1,18,PhD,0
2,6,Average,1,1,4,High School,1
3,2,Excellent,0,2,4,High School,1
17,6,Bad,1,3,19,Bachelor's,0
5,2,Average,1,5,16,Master's,1
17,2,Excellent,0,2,20,PhD,0
17,2,Very Good,1,3,9,Bachelor's,1
17,3,Average,1,2,4,High School,0
2,2,Average,1,5,3,PhD,1
2,4,Very Good,1,1,5,High School,1
5,9,Good,0,1,3,Master's,0
1,6,Bad,1,3,6,Bachelor's,0
1,1,Good,1,4,6,Master's,1
19,8,Excellent,0,3,17,Bachelor's,1
2,7,Very Good,1,4,2,High School,0
12,10,Good,0,2,0,Master's,1
6,3,Average,1,2,3,Master's,0
4,1,Excellent,0,5,5,High School,1
11,5,Excellent,0,4,8,Master's,0
17,4,Good,0,5,13,PhD,1
6,10,Good,0,1,11,Bachelor's,0
5,8,Very Good,1,4,19,Bachelor's,0
20,1,Bad,0,3,3,Bachelor's,0
2,10,Good,1,1,20,PhD,0
6,1,Good,0,1,11,Bachelor's,0
11,4,Average,0,3,9,High School,0
16,8,Excellent,0,1,6,Master's,1
16,5,Bad,1,4,2,PhD,0
1,2,Average,0,5,13,Bachelor's,0
9,6,Very Good,1,1,9,High School,0
6,5,Very Good,1,4,15,Master's,0
16,2,Good,1,2,15,Master's,0
3,3,Good,1,4,9,PhD,0
20,9,Very Good,1,5,12,PhD,0
4,7,Good,1,4,5,PhD,0
19,7,Bad,1,3,11,High School,0
3,6,Good,1,5,8,High School,0
19,8,Excellent,1,2,12,PhD,0
20,4,Good,0,3,3,Bachelor's,0
7,8,Average,0,4,10,Master's,2
20,4,Bad,0,5,19,Master's,0
9,8,Average,0,2,17,High School,1
1,9,Average,0,3,10,Master's,0
8,3,Excellent,1,2,20,Bachelor's,1
7,3,Bad,1,4,3,Master's,1
18,2,Bad,1,2,17,High School,0
8,10,Bad,1,1,0,High School,2
1,3,Bad,1,3,6,Bachelor's,0
11,3,Bad,1,2,5,Bachelor's,0
18,5,Excellent,1,4,14,Master's,1
10,5,Good,0,4,17,Master's,1
3,2,Average,0,2,10,High School,0
7,10,Bad,0,4,19,Bachelor's,0
16,6,Good,0,5,14,Bachelor's,0
16,5,Good,1,5,15,Bachelor's,0
20,6,Average,1,5,6,Master's,1
17,1,Excellent,1,1,20,Bachelor's,0
2,5,Very Good,0,2,9,High School,0
1,9,Very Good,1,1,11,High School,0
16,10,Good,1,4,13,Master's,0
12,2,Average,1,1,4,PhD,0
5,1,Very Good,0,4,20,Master's,1
5,10,Good,1,4,17,PhD,2
9,9,Excellent,0,3,4,Bachelor's,1
9,10,Very Good,0,5,2,Master's,0
3,9,Good,0,4,4,High School,1
19,9,Good,0,3,16,Bachelor's,1
16,6,Bad,1,5,18,High School,1
16,8,Excellent,0,4,18,Bachelor's,0
3,1,Bad,0,4,20,Master's,0
20,10,Average,1,1,11,PhD,0
1,4,Bad,1,1,8,Bachelor's,0
20,1,Bad,0,5,0,PhD,0
11,8,Very Good,1,4,17,Bachelor's,0
17,1,Good,0,2,20,High School,0
8,3,Excellent,0,1,3,High School,1
4,4,Bad,0,5,9,Bachelor's,0
6,8,Excellent,0,4,6,PhD,0
8,6,Bad,1,4,0,Master's,2
20,10,Average,0,2,16,Master's,2
3,7,Bad,1,5,1,High School,1
16,8,Very Good,1,4,10,Master's,2
3,2,Good,1,1,8,High School,0
18,10,Average,1,2,6,Master's,2
14,8,Bad,0,5,16,Bachelor's,0
18,3,Excellent,1,2,16,High School,0
2,7,Average,0,1,1,High School,0
3,3,Average,1,5,5,Bachelor's,0
16,7,Bad,1,2,13,High School,0
9,2,Average,0,3,5,Master's,1
4,10,Excellent,0,1,1,Master's,1
1,6,Average,0,1,0,High School,0
4,3,Excellent,1,1,9,Master's,0
1,3,Bad,1,3,20,PhD,1
14,9,Good,0,3,4,High School,1
16,7,Average,0,4,1,Bachelor's,0
20,5,Good,0,2,15,PhD,1
8,10,Excellent,0,4,1,High School,0
7,7,Average,1,2,9,Bachelor's,0
3,9,Very Good,0,3,1,Master's,2
17,1,Good,0,3,15,Bachelor's,0
1,7,Average,0,4,15,PhD,0
16,6,Good,0,5,18,Master's,1
12,10,Average,1,4,6,High School,1
19,9,Bad,0,2,11,Master's,0
14,1,Good,1,4,14,High School,0
6,4,Very Good,0,1,7,High School,0
6,9,Very Good,0,2,5,Bachelor's,1
13,4,Excellent,1,2,9,Bachelor's,0
19,10,Average,0,5,2,Bachelor's,0
8,3,Good,1,3,18,PhD,2
2,9,Excellent,1,2,16,PhD,0
1,2,Good,0,3,6,Bachelor's,0
15,4,Average,1,4,20,PhD,0
1,6,Very Good,1,1,19,Master's,1
5,2,Bad,1,5,3,Master's,0
16,8,Very Good,1,3,13,PhD,0
19,8,Excellent,1,2,19,PhD,1
4,1,Bad,1,3,14,Master's,0
3,3,Excellent,1,2,7,High School,0
17,10,Average,1,3,20,Master's,0
17,9,Bad,0,2,14,Master's,0
12,5,Excellent,0,4,19,PhD,0
14,6,Average,1,2,13,Master's,0
6,4,Very Good,0,2,8,PhD,0
3,10,Average,1,1,7,PhD,0
9,2,Good,1,2,16,Bachelor's,1
5,8,Average,0,1,1,Master's,2
17,6,Average,1,5,2,High School,1
14,5,Good,1,1,7,Bachelor's,1
3,9,Excellent,1,4,11,PhD,0
1,1,Excellent,1,1,0,PhD,2
20,5,Average,0,5,9,High School,0
1,6,Good,1,4,19,PhD,2
3,5,Good,1,3,2,Master's,2
18,6,Very Good,1,3,5,Bachelor's,1
10,6,Excellent,0,1,6,PhD,2
3,7,Bad,1,1,19,PhD,0
8,4,Excellent,0,5,17,High School,0
14,8,Excellent,0,5,10,Master's,0
18,7,Very Good,1,2,18,PhD,0
15,9,Bad,1,5,4,High School,0
2,7,Very Good,0,2,18,PhD,1
10,3,Bad,1,4,10,High School,2
2,3,Average,0,1,11,High School,0
17,8,Bad,0,4,9,Master's,1
8,5,Very Good,1,5,7,PhD,2
1,4,Excellent,1,4,8,Master's,2
9,8,Bad,0,4,3,High School,2
11,6,Bad,0,4,4,Bachelor's,0
16,2,Good,0,5,20,PhD,2
7,4,Excellent,0,4,7,Bachelor's,1
10,4,Average,1,2,8,PhD,0
3,6,Very Good,1,5,14,Master's,0
18,6,Average,1,4,14,Master's,1
13,1,Excellent,1,5,15,Master's,0
7,8,Bad,1,3,13,Master's,1
4,6,Bad,0,2,7,Master's,1
13,3,Excellent,1,4,17,Bachelor's,0
20,9,Bad,1,3,9,Master's,0
1,2,Bad,1,3,19,High School,1
8,8,Bad,1,5,5,High School,0
14,10,Very Good,1,3,11,Bachelor's,0
16,3,Very Good,0,2,1,PhD,0
14,5,Good,0,2,6,High School,0
12,6,Average,0,1,15,PhD,2
19,10,Excellent,1,2,2,Bachelor's,0
15,6,Excellent,0,3,12,PhD,1
2,4,Excellent,0,2,2,PhD,0
2,3,Good,1,5,17,PhD,0
19,4,Very Good,1,1,10,PhD,1
17,1,Good,1,3,7,Bachelor's,1
20,4,Excellent,0,1,5,High School,0
10,1,Average,0,3,0,Master's,0
6,1,Bad,1,5,0,PhD,0
15,10,Very Good,1,1,7,High School,0
11,6,Very Good,0,4,4,High School,1
5,5,Good,0,3,15,Bachelor's,0
1,4,Very Good,1,4,10,High School,0
8,3,Excellent,1,1,4,Bachelor's,0
12,1,Excellent,0,4,3,PhD,2
12,6,Good,1,4,5,PhD,2
5,2,Excellent,0,1,13,Master's,0
7,8,Average,0,5,18,Master's,1
4,10,Good,0,4,8,Master's,0
6,5,Average,0,4,11,High School,0
13,7,Bad,1,5,10,PhD,1
20,10,Average,1,4,13,Bachelor's,2
15,2,Bad,0,4,15,Master's,2
3,8,Bad,0,4,0,Bachelor's,0
8,2,Average,0,2,12,Bachelor's,0
20,4,Good,0,5,20,Master's,1
16,1,Excellent,0,4,20,PhD,0
13,5,Excellent,1,5,12,Master's,0
18,9,Bad,1,3,1,Bachelor's,0
10,1,Bad,1,3,3,Master's,1
19,9,Good,1,4,5,Bachelor's,0
17,8,Very Good,0,5,4,Bachelor's,0
19,6,Average,0,5,2,Master's,2
5,7,Bad,0,5,0,High School,0
9,3,Excellent,0,2,3,Master's,0
12,1,Good,0,3,19,High School,0
1,5,Average,1,5,1,Bachelor's,0
1,2,Good,0,5,4,Bachelor's,0
15,5,Average,1,2,2,High School,0
2,8,Average,1,2,8,Bachelor's,1
16,9,Bad,1,5,19,High School,0
8,2,Good,1,1,5,High School,2
13,3,Good,0,5,17,Bachelor's,0
1,3,Excellent,1,5,5,PhD,0
16,1,Excellent,1,2,18,High School,0
7,8,Bad,1,2,11,Master's,0
5,6,Bad,0,5,10,Master's,1
3,8,Very Good,0,5,1,Bachelor's,0
12,9,Excellent,0,5,14,PhD,0
16,5,Average,1,2,11,Bachelor's,1
19,3,Good,1,5,11,PhD,2
5,5,Bad,0,5,8,High School,1
14,5,Good,1,4,20,High School,0
5,5,Good,0,1,1,High School,1
15,3,Very Good,0,3,2,High School,0
17,10,Excellent,1,1,11,Master's,0
14,4,Bad,1,4,15,Master's,0
20,9,Good,1,3,20,Bachelor's,0
5,10,Bad,1,5,0,PhD,0
12,9,Average,0,4,20,High School,0
16,2,Very Good,0,5,2,High School,1
16,8,Average,0,2,19,PhD,0
7,8,Bad,0,4,1,PhD,0
4,7,Bad,0,2,8,Bachelor's,0
1,8,Excellent,1,4,18,PhD,2
5,3,Good,0,4,14,High School,0
10,6,Good,0,2,17,High School,0
5,1,Average,0,3,10,High School,1
4,7,Very Good,1,1,15,High School,1
2,1,Good,1,5,16,High School,0
20,9,Excellent,1,4,4,Bachelor's,1
10,1,Average,1,5,11,High School,1
19,1,Average,0,2,10,Bachelor's,1
1,7,Excellent,0,5,14,High School,0
5,2,Very Good,1,2,2,Master's,1
13,5,Excellent,1,5,0,Master's,0
4,8,Very Good,0,1,19,Master's,0
16,8,Excellent,0,1,15,Master's,0
16,3,Excellent,1,1,1,Bachelor's,0
2,7,Bad,1,1,1,Bachelor's,0
17,3,Average,1,1,2,PhD,1
20,6,Excellent,1,1,7,High School,0
12,6,Excellent,0,2,14,Master's,0
18,3,Good,0,4,6,Bachelor's,0
3,7,Average,0,5,5,High School,0
1,3,Good,1,1,8,High School,2
1,8,Average,1,2,19,Bachelor's,0
19,10,Good,0,2,0,Master's,0
11,4,Excellent,0,2,7,PhD,0
5,1,Excellent,0,4,2,High School,0
12,4,Bad,0,5,3,PhD,0
3,7,Good,1,4,14,Master's,1
1,4,Very Good,0,3,5,Master's,2
1,6,Bad,0,2,14,PhD,0
8,9,Good,0,3,20,Master's,1
10,1,Good,0,1,2,High School,1
11,5,Bad,0,1,20,PhD,1
12,7,Excellent,0,4,20,Master's,0
13,1,Good,0,5,13,PhD,0
12,4,Excellent,1,3,19,High School,0
14,6,Bad,1,5,13,Master's,1
2,2,Excellent,1,4,3,High School,1
19,10,Average,1,1,11,Master's,0
18,5,Very Good,0,5,16,Bachelor's,0
3,10,Good,1,5,6,Master's,2
17,1,Very Good,1,1,8,PhD,1
8,6,Excellent,0,3,2,Master's,2
10,6,Good,0,1,12,High School,1
2,4,Excellent,1,5,14,High School,0
19,8,Average,1,3,17,Master's,0
9,4,Bad,0,3,18,PhD,1
7,8,Good,1,1,0,Bachelor's,0
4,8,Average,0,5,5,PhD,0
18,5,Average,0,4,1,Bachelor's,1
13,4,Good,0,5,13,High School,0
11,2,Excellent,0,2,5,PhD,1
4,3,Average,1,4,13,Bachelor's,0
4,3,Very Good,0,3,3,Master's,2
10,4,Average,0,4,20,High School,0
5,4,Excellent,1,3,7,Master's,0
9,10,Excellent,0,3,2,High School,1
3,5,Very Good,1,4,18,PhD,0
17,4,Average,1,3,13,PhD,1
3,10,Excellent,1,3,19,High School,1
16,8,Good,0,2,16,High School,0
4,6,Bad,1,5,7,High School,0
18,6,Bad,1,5,13,PhD,0
17,8,Bad,0,2,5,Bachelor's,0
7,7,Average,1,4,15,Master's,2
5,10,Very Good,1,1,18,Master's,1
12,10,Excellent,1,1,13,PhD,1
17,8,Good,1,1,18,Master's,1
13,2,Good,1,2,2,High School,0
3,9,Average,0,2,9,Bachelor's,2
9,1,Bad,1,3,18,Master's,1
17,8,Average,1,1,8,Bachelor's,1
17,4,Very Good,0,4,19,High School,1
20,4,Very Good,0,4,12,Master's,0
16,5,Excellent,0,1,6,PhD,1
13,8,Excellent,1,1,13,Bachelor's,0
19,5,Very Good,0,1,8,High School,0
17,8,Very Good,1,2,18,Bachelor's,0
4,10,Very Good,1,2,14,Master's,2
12,1,Average,0,2,19,Master's,1
9,10,Very Good,0,5,13,PhD,1
19,9,Good,1,4,5,High School,1
12,6,Bad,0,4,20,High School,0
9,3,Very Good,1,3,3,PhD,2
7,8,Bad,0,2,7,PhD,0
14,9,Average,0,5,16,High School,0
20,6,Bad,0,5,8,Bachelor's,0
19,7,Average,1,4,0,Bachelor's,1
15,1,Good,0,2,19,PhD,1
16,5,Average,1,3,13,Bachelor's,0
5,5,Average,1,2,10,High School,0
3,10,Excellent,1,1,20,Master's,1
12,4,Very Good,1,2,2,Master's,0
20,6,Very Good,0,1,8,Bachelor's,1
4,7,Good,1,1,13,PhD,2
16,9,Good,1,3,8,PhD,0
7,1,Very Good,0,4,3,PhD,0
13,6,Excellent,1,2,3,PhD,1
10,7,Very Good,0,1,7,PhD,1
7,3,Excellent,1,2,1,Bachelor's,0
14,8,Good,0,4,8,Master's,2
5,5,Bad,1,4,13,Master's,0
3,9,Good,0,5,8,Bachelor's,0
11,5,Good,1,4,15,PhD,1
11,9,Average,1,3,16,Bachelor's,1
18,10,Average,0,1,15,Master's,0
